X STUDENTNAME GENDER SEATCATG     CITYNAME TOTALMARKS CUTOFFMARKS
1   1          A1   Male       MQ   TIRUVANNAMALAI        967      177.00
2   2          A2 Female       MQ       COIMBATORE       1097      183.75
3   3          A3 Female       MQ       COIMBATORE       1096      183.50
4   4          A4 Female       MQ       COIMBATORE       1085      187.50
5   5          A5   Male       MQ       COIMBATORE       1056      179.00
6   6          A6   Male       MQ             OOTY       1091      184.00
7   7          A7 Female       MQ            KARUR       1088      180.75
8   8          A8   Male       MQ       COIMBATORE       1009      171.75
9   9          A9   Male       MQ       COIMBATORE        906      145.50
10 10         A10   Male       MQ            SALEM        977      159.25
11 11         A11   Male       MQ       COIMBATORE       1052      168.25
12 12         A12 Female       MQ     THE NILGIRIS       1125      190.50
13 13         A13   Male       MQ        BANGALORE        391       68.25
14 14         A14 Female       MQ       COIMBATORE       1003      158.00
15 15         A15   Male       MQ            SALEM        959      168.00
16 16         A16   Male       MQ TIRUCHIRAPPALLI        1140      188.00
17 17         A17 Female       MQ       COIMBATORE        963      162.00
18 18         A18 Female       GQ       COIMBATORE       1135      195.50
19 19         A19   Male       GQ            ERODE       1139      195.75
20 20         A20 Female       GQ         TIRUPPUR       1158      195.25
21 21         A21   Male       GQ      PATTUKOTTAI       1153      195.25
22 22         A22 Female       MQ          COONOOR       1115      189.50
23 23         A23 Female       GQ   TRICHIRAPPALLI       1114      192.25
24 24         A24   Male       GQ    TIRUNELVELI         1145      195.75
25 25         A25   Male       GQ            SALEM       1164      196.00
26 26         A26   Male       GQ            ERODE       1152      195.75
27 27         A27 Female       GQ       DHARAPURAM       1159      194.50
28 28         A28 Female       GQ       COIMBATORE       1112      195.50
29 29         A29   Male       GQ         TIRUPPUR       1112      179.50
30 30         A30   Male       GQ       SIVAGANGAI       1147      194.25
31 31         A31 Female       GQ        CUDDALORE       1127      195.00
32 32         A32 Female       GQ TIRUCHIRAPPALLI        1152      192.75
33 33         A33 Female       GQ            ERODE       1135      194.50
34 34         A34   Male       GQ      KRISHNAGIRI       1143      192.50
35 35         A35   Male       GQ      THIRUVALLUR       1125      195.00
36 36         A36   Male       GQ     VIRUDHUNAGAR       1143      195.75
37 37         A37   Male       GQ          MADURAI       1041      181.25
38 38         A38   Male       MQ       COIMBATORE       1047      170.75
39 39         A39 Female       MQ       SIVAGANGAI       1038      168.00
40 40         A40   Male       GQ     METTUPALAYAM       1094      187.00
41 41         A41   Male       MQ         TIRUPPUR       1084      186.50
42 42         A42   Male       MQ      KANYAKUMARI       1043      177.50
43 43         A43   Male       MQ     CHAMRAJNAGAR        433       68.00
44 44         A44   Male       MQ        SIVAGANGA        884      139.00
45 45         A45   Male       MQ            SALEM        926      152.25
46 46         A46   Male       MQ       COIMBATORE        936      153.00
47 47         A47   Male       GQ       COIMBATORE       1129      193.00
48 48         A48 Female       GQ         DINDIGUL       1101      188.75
49 49         A49 Female       GQ     THE NILGIRIS       1134      192.75
50 50         A50 Female       GQ            ERODE       1117      193.75
51 51         A51   Male       GQ        CUDDALORE       1129      188.75
52 52         A52   Male       GQ   RAMANATHAPURAM       1137      194.25
53 53         A53 Female       GQ            THENI       1115      193.25
54 54         A54   Male       GQ            ERODE       1144      190.25
55 55         A55   Male       GQ          VELLORE       1124      193.50
